"Notes"	"County"	"County Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Catoosa County, GA"	"13047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	66050	Unreliable
	"Catoosa County, GA"	"13047"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	66398	Unreliable
	"Chatham County, GA"	"13051"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	286956	8.4
	"Chatham County, GA"	"13051"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	29	289082	10.0
	"Cherokee County, GA"	"13057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	50	235900	21.2
	"Cherokee County, GA"	"13057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	43	241689	17.8
	"Clarke County, GA"	"13059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	123912	Unreliable
	"Clarke County, GA"	"13059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	124707	Unreliable
	"Clayton County, GA"	"13063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	22	273955	8.0
	"Clayton County, GA"	"13063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	22	279462	7.9
	"Cobb County, GA"	"13067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	100	741334	13.5
	"Cobb County, GA"	"13067"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	112	748150	15.0
	"Cobb County, GA"	"13067"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	11	748150	Unreliable
	"Columbia County, GA"	"13073"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	144052	Unreliable
	"Columbia County, GA"	"13073"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	147450	Unreliable
	"Coweta County, GA"	"13077"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	138427	Unreliable
	"Coweta County, GA"	"13077"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	140526	Unreliable
	"DeKalb County, GA"	"13089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	65	734871	8.8
	"DeKalb County, GA"	"13089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	66	740321	8.9
	"Douglas County, GA"	"13097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	17	140733	Unreliable
	"Douglas County, GA"	"13097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	32	142224	22.5
	"Fayette County, GA"	"13113"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	110714	Unreliable
	"Floyd County, GA"	"13115"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	96504	Unreliable
	"Floyd County, GA"	"13115"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	96560	Unreliable
	"Forsyth County, GA"	"13117"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	32	212438	15.1
	"Forsyth County, GA"	"13117"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	221009	Unreliable
	"Fulton County, GA"	"13121"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	139	1010562	13.8
	"Fulton County, GA"	"13121"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	152	1023336	14.9
	"Glynn County, GA"	"13127"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	84502	Unreliable
	"Gordon County, GA"	"13129"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	56904	Unreliable
	"Gwinnett County, GA"	"13135"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	84	895823	9.4
	"Gwinnett County, GA"	"13135"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	61	907135	6.7
	"Gwinnett County, GA"	"13135"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	18	895823	Unreliable
	"Gwinnett County, GA"	"13135"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	18	907135	Unreliable
	"Hall County, GA"	"13139"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	19	193535	Unreliable
	"Hall County, GA"	"13139"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	25	196637	12.7
	"Haralson County, GA"	"13143"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	29042	Unreliable
	"Henry County, GA"	"13151"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	25	217739	11.5
	"Henry County, GA"	"13151"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	37	221768	16.7
	"Jackson County, GA"	"13157"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	15	63360	Unreliable
	"Jackson County, GA"	"13157"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	64615	Unreliable
	"Lowndes County, GA"	"13185"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	114628	Unreliable
	"Muscogee County, GA"	"13215"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	200579	Unreliable
	"Muscogee County, GA"	"13215"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	197485	Unreliable
	"Newton County, GA"	"13217"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	105473	Unreliable
	"Newton County, GA"	"13217"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	106999	Unreliable
	"Paulding County, GA"	"13223"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	152238	15.8
	"Paulding County, GA"	"13223"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	30	155825	19.3
	"Richmond County, GA"	"13245"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	39	201793	19.3
	"Richmond County, GA"	"13245"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	46	201647	22.8
	"Rockdale County, GA"	"13247"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	88856	Unreliable
	"Rockdale County, GA"	"13247"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	89355	Unreliable
	"Spalding County, GA"	"13255"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	64051	Unreliable
	"Troup County, GA"	"13285"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	69763	Unreliable
	"Walker County, GA"	"13295"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	67896	Unreliable
	"Walton County, GA"	"13297"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	19	88399	Unreliable
	"Walton County, GA"	"13297"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	90184	Unreliable
	"Whitfield County, GA"	"13313"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	12	104216	Unreliable
	"Whitfield County, GA"	"13313"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	104589	Unreliable
	"Hawaii County, HI"	"15001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	196428	Unreliable
	"Hawaii County, HI"	"15001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	198449	Unreliable
	"Honolulu County, HI"	"15003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	106	998714	10.6
	"Honolulu County, HI"	"15003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	131	992605	13.2
	"Honolulu County, HI"	"15003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	13	998714	Unreliable
	"Maui County, HI"	"15009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	17	164637	Unreliable
	"Maui County, HI"	"15009"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	165386	Unreliable
	"Ada County, ID"	"16001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	30	434211	6.9
	"Ada County, ID"	"16001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	53	444028	11.9
	"Ada County, ID"	"16001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	14	434211	Unreliable
	"Ada County, ID"	"16001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	13	444028	Unreliable
	"Bannock County, ID"	"16005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	84377	Unreliable
	"Bonneville County, ID"	"16019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	27	110089	24.5
	"Bonneville County, ID"	"16019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	24	112232	21.4
	"Canyon County, ID"	"16027"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	211698	Unreliable
	"Kootenai County, ID"	"16055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	17	150346	Unreliable
	"Kootenai County, ID"	"16055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	154311	Unreliable
	"Twin Falls County, ID"	"16083"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	82375	Unreliable
	"Adams County, IL"	"17001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	67013	Unreliable
	"Bureau County, IL"	"17011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	33587	Unreliable
	"Champaign County, IL"	"17019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	29	208861	13.9
	"Champaign County, IL"	"17019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	21	208419	10.1
	"Cook County, IL"	"17031"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	624	5238216	11.9
	"Cook County, IL"	"17031"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	1041	5203499	20.0
	"Cook County, IL"	"17031"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	55	5238216	1.0
	"Cook County, IL"	"17031"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	52	5203499	1.0
	"Cook County, IL"	"17031"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	15	5238216	Unreliable
	"Cook County, IL"	"17031"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	20	5203499	0.4
	"DeKalb County, IL"	"17037"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	104528	Unreliable
	"DuPage County, IL"	"17043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	88	933736	9.4
	"DuPage County, IL"	"17043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	119	929368	12.8
	"DuPage County, IL"	"17043"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	20	933736	2.1
	"Franklin County, IL"	"17055"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	39485	Unreliable
	"Grundy County, IL"	"17063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	50437	Unreliable
	"Jackson County, IL"	"17077"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	58870	Unreliable
	"Jefferson County, IL"	"17081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	38353	Unreliable
	"Kane County, IL"	"17089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	30	530847	5.7
	"Kane County, IL"	"17089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	52	531715	9.8
	"Kankakee County, IL"	"17091"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	110879	Unreliable
	"Kankakee County, IL"	"17091"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	110008	Unreliable
	"Kendall County, IL"	"17093"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	21	124695	16.8
	"Lake County, IL"	"17097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	66	703910	9.4
	"Lake County, IL"	"17097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	76	703047	10.8
	"Lake County, IL"	"17097"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	10	703047	Unreliable
	"LaSalle County, IL"	"17099"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	25	111333	22.5
	"LaSalle County, IL"	"17099"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	110642	Unreliable
	"McHenry County, IL"	"17111"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	38	307343	12.4
	"McHenry County, IL"	"17111"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	48	307004	15.6
	"McLean County, IL"	"17113"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	18	173166	Unreliable
	"McLean County, IL"	"17113"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	18	172418	Unreliable
	"Macon County, IL"	"17115"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	107303	Unreliable
	"Macon County, IL"	"17115"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	18	106550	Unreliable
	"Madison County, IL"	"17119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	71	266209	26.7
	"Madison County, IL"	"17119"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	60	265759	22.6
	"Marion County, IL"	"17121"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	38140	Unreliable
	"Ogle County, IL"	"17141"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	51273	Unreliable
	"Peoria County, IL"	"17143"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	33	186221	17.7
	"Peoria County, IL"	"17143"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	30	185006	16.2
	"St. Clair County, IL"	"17163"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	34	264052	12.9
	"St. Clair County, IL"	"17163"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	41	262759	15.6
	"Sangamon County, IL"	"17167"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	41	198712	20.6
	"Sangamon County, IL"	"17167"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	25	197499	12.7
	"Tazewell County, IL"	"17179"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	20	134800	14.8
	"Tazewell County, IL"	"17179"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	24	134385	17.9
	"Vermilion County, IL"	"17183"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	79282	Unreliable
	"Vermilion County, IL"	"17183"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	23	78111	29.4
	"Will County, IL"	"17197"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	88	687263	12.8
	"Will County, IL"	"17197"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	118	689529	17.1
	"Will County, IL"	"17197"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	10	687263	Unreliable
	"Will County, IL"	"17197"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	11	689529	Unreliable
	"Williamson County, IL"	"17199"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	67560	Unreliable
	"Winnebago County, IL"	"17201"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	86	287078	30.0
	"Winnebago County, IL"	"17201"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	101	285873	35.3
	"Allen County, IN"	"18003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	57	368450	15.5
	"Allen County, IN"	"18003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	68	370404	18.4
	"Bartholomew County, IN"	"18005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	81402	Unreliable
	"Boone County, IN"	"18011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	63344	Unreliable
	"Boone County, IN"	"18011"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	64653	Unreliable
	"Clark County, IN"	"18019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	24	115371	20.8
	"Clark County, IN"	"18019"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	39	116031	33.6
	"Dearborn County, IN"	"18029"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	49455	Unreliable
	"Dearborn County, IN"	"18029"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	49331	Unreliable
	"Delaware County, IN"	"18035"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	32	116852	27.4
	"Delaware County, IN"	"18035"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	35	115603	30.3
	"Elkhart County, IN"	"18039"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	21	203474	10.3
	"Elkhart County, IN"	"18039"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	21	203781	10.3
	"Fayette County, IN"	"18041"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	10	23434	Unreliable
	"Fayette County, IN"	"18041"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	14	23331	Unreliable
	"Floyd County, IN"	"18043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	76778	Unreliable
	"Floyd County, IN"	"18043"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	22	76990	28.6
	"Grant County, IN"	"18053"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	29	67979	42.7
	"Grant County, IN"	"18053"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	19	66937	Unreliable
	"Hamilton County, IN"	"18057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	29	309697	9.4
	"Hamilton County, IN"	"18057"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	31	316373	9.8
	"Hancock County, IN"	"18059"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	19	72520	Unreliable
	"Harrison County, IN"	"18061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	15	39826	Unreliable
	"Hendricks County, IN"	"18063"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	160610	Unreliable
	"Hendricks County, IN"	"18063"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	14	160610	Unreliable
	"Howard County, IN"	"18067"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2015"	"2015"	27	82556	32.7
	"Howard County, IN"	"18067"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	14	82568	Unreliable
	"Jackson County, IN"	"18071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	11	44069	Unreliable
	"Jackson County, IN"	"18071"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	44013	Unreliable
	"Johnson County, IN"	"18081"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	13	149633	Unreliable
	"Johnson County, IN"	"18081"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	"2016"	"2016"	26	151982	17.1
	"Kosciusko County, IN"	"18085"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	79092	Unreliable
	"Lake County, IN"	"18089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	59	487865	12.1
	"Lake County, IN"	"18089"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	103	485846	21.2
	"La Porte County, IN"	"18091"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	14	110884	Unreliable
	"La Porte County, IN"	"18091"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	28	110015	25.5
	"Madison County, IN"	"18095"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	30	129723	23.1
	"Madison County, IN"	"18095"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	34	129296	26.3
	"Marion County, IN"	"18097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	232	939020	24.7
	"Marion County, IN"	"18097"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	298	941229	31.7
	"Marion County, IN"	"18097"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	14	939020	Unreliable
	"Marion County, IN"	"18097"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2016"	"2016"	16	941229	Unreliable
	"Monroe County, IN"	"18105"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	16	144705	Unreliable
	"Monroe County, IN"	"18105"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	23	145496	15.8
	"Morgan County, IN"	"18109"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	19	69648	Unreliable
	"Morgan County, IN"	"18109"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	17	69698	Unreliable
	"Porter County, IN"	"18127"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	34	167688	20.3
	"Porter County, IN"	"18127"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	45	167791	26.8
	"Randolph County, IN"	"18135"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	25082	Unreliable
	"St. Joseph County, IN"	"18141"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	51	268441	19.0
	"St. Joseph County, IN"	"18141"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	54	269141	20.1
	"Scott County, IN"	"18143"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	21	23730	88.5
	"Tippecanoe County, IN"	"18157"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	31	185826	16.7
	"Tippecanoe County, IN"	"18157"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	29	188059	15.4
	"Vanderburgh County, IN"	"18163"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	38	181877	20.9
	"Vanderburgh County, IN"	"18163"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	46	181721	25.3
	"Vigo County, IN"	"18167"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	16	107931	Unreliable
	"Wayne County, IN"	"18177"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	31	67001	46.3
	"Wayne County, IN"	"18177"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	36	66568	54.1
	"Black Hawk County, IA"	"19013"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	132904	Unreliable
	"Dubuque County, IA"	"19061"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	13	97003	Unreliable
	"Johnson County, IA"	"19103"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	10	146547	Unreliable
	"Linn County, IA"	"19113"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	23	219916	10.5
	"Linn County, IA"	"19113"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	12	221661	Unreliable
	"Polk County, IA"	"19153"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	55	467711	11.8
	"Polk County, IA"	"19153"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	54	474045	11.4
	"Polk County, IA"	"19153"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	"2015"	"2015"	11	467711	Unreliable
	"Pottawattamie County, IA"	"19155"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2016"	"2016"	11	93582	Unreliable
	"Scott County, IA"	"19163"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	"2015"	"2015"	29	172126	16.8
